A: 1, B: 26
A: 2, B: 2
A: 3, B: 25
A: 4, B: 37
A: 5, B: 19
A: 6, B: 11
A: 7, B: 13
A: 8, B: 30
A: 9, B: 2
A: 10, B: 19
A: 11, B: 9
A: 12, B: 11
A: 13, B: 13
A: 14, B: 3
A: 15, B: 17
A: 16, B: 30
A: 17, B: 17
A: 18, B: 10
A: 19, B: 10
A: 20, B: 15
A: 21, B: 2
A: 22, B: 12
A: 23, B: 21
A: 24, B: 7
A: 25, B: 39
A: 26, B: 17
A: 27, B: 6
A: 28, B: 15
A: 29, B: 3
A: 30, B: 9
A: 31, B: 7
A: 32, B: 23
A: 33, B: 13
A: 34, B: 9
A: 35, B: 25
A: 36, B: 16
A: 37, B: 17
A: 38, B: 11
A: 39, B: 2
A: 40, B: 10
A: 41, B: 29
A: 42, B: 36
A: 43, B: 36
A: 44, B: 0
A: 45, B: 5
A: 46, B: 34
A: 47, B: 15
A: 48, B: 21
A: 49, B: 13
A: 50, B: 26
A: 51, B: 3
A: 52, B: 12
A: 53, B: 24
A: 54, B: 28
A: 55, B: 17
A: 56, B: 29
A: 57, B: 34
A: 58, B: 6
A: 59, B: 24
A: 60, B: 13
A: 61, B: 12
A: 62, B: 30
A: 63, B: 1
A: 64, B: 18
A: 65, B: 35
A: 66, B: 5
A: 67, B: 15
A: 68, B: 3
A: 69, B: 12
A: 70, B: 4
A: 71, B: 30
A: 72, B: 39
A: 73, B: 18
A: 74, B: 5
A: 75, B: 39
A: 76, B: 37
A: 77, B: 35
A: 78, B: 39
A: 79, B: 30
A: 80, B: 6
A: 81, B: 1
A: 82, B: 9
A: 83, B: 28
A: 84, B: 16
A: 85, B: 19
A: 86, B: 22
A: 87, B: 13
A: 88, B: 2
A: 89, B: 12
A: 90, B: 3
A: 91, B: 36
A: 92, B: 36
A: 93, B: 24
A: 94, B: 9
A: 95, B: 35
A: 96, B: 24
A: 97, B: 5
A: 98, B: 34
A: 99, B: 26
A: 100, B: 0
done
