A,B,C,D
1,27,13.35,471.32
2,9,19.99,183.07
3,25,27.19,439.27
4,21,34.29,375.08
5,16,41.06,295.03
6,28,48.3,487.26
7,19,55.21,343.33
8,27,62.18,471.23
9,33,69.18,567.36
10,17,76.02,311.02
11,8,83.21,167.32
12,34,90.31,583.33
13,4,97.16,103.06
14,25,104.29,439.29
15,35,111.37,598.98
16,1,118.26,55.22
17,29,125.37,503.05
18,17,132.16,311.17
19,2,139.09,71.29
20,1,146.18,55.34
21,37,153.27,631.09
22,31,160.21,535.02
23,18,167.17,327.12
24,26,174.03,455.36
25,18,180.98,327.35
26,18,188.31,327.23
27,34,195.13,583.22
28,1,202.3,55.33
29,12,209.32,231.04
30,3,216.33,87.25
31,31,223.31,535.06
32,3,230.14,87.29
33,39,237.33,663.01
34,6,244.11,135.06
35,4,251.29,102.98
36,1,257.99,55.24
37,19,265.33,342.99
38,35,272.26,599.31
39,30,278.98,519.25
40,37,286.34,631.13
41,16,293.25,295.06
42,24,300.28,423.14
43,15,307.28,279.01
44,10,314.26,199.15
45,10,321.3,198.98
46,11,328.31,215.32
47,37,335.1,631.27
48,38,342.06,647.08
49,23,349.36,407
50,10,356.25,199.36
51,25,363.01,439.24
52,25,370.25,439.06
53,2,377.33,71.28
54,5,384.03,119.16
55,14,391.14,263.08
56,15,398.17,279.34
57,9,405.06,182.98
58,30,412.36,519.06
59,0,419.19,39.37
60,35,426.29,599.24
61,33,433.07,567.2
62,11,440.32,215.07
63,12,447.26,231.02
64,2,454.24,71
65,13,460.98,247.08
66,23,468.13,407.27
67,11,475.14,215.35
68,12,482.05,231.33
69,20,489.05,359.06
70,11,496.32,215.37
71,30,503.26,518.98
72,12,510.29,231.33
73,21,517.01,375.13
74,18,524.04,326.99
75,12,531.09,231.32
76,22,538.32,391.07
77,11,545.36,215.16
78,0,552.08,39.23
79,27,559.2,471.22
80,35,566.32,599.17
81,34,573.22,583.37
82,35,580.34,599.28
83,22,587.07,391.32
84,37,595,631.17
85,32,601.29,551.29
86,3,608.23,87.11
87,29,615.24,503.22
88,27,622.02,471.14
89,29,629.19,503.01
90,12,636.04,231.36
91,38,643.15,647.23
92,14,650.14,263.18
93,2,657.04,71.32
94,11,664.3,215.21
95,31,671.14,535.12
96,14,678.09,263.29
97,28,684.99,487.08
98,4,692.18,103.04
99,21,699,375.26
100,24,706.12,423.24
